Orden;Fecha;Mesa;Atendió;Propina;Tipo de Cliente;Sucursal
398;14/03/2014;16;Mariana;17%;Cliente Nuevo;La Estancia
399;02/08/2014;3;Mariana;6%;Cliente Nuevo;La Paz
400;13/08/2014;13;Omar;15%;Cliente Repetido;La Paz
401;05/02/2014;17;Alejandro;8%;Cliente Nuevo;La Paz
402;18/04/2014;17;Rodolfo;9%;Cliente Nuevo;La Estancia
403;04/03/2014;16;Mariana;13%;Cliente Nuevo;Chapultepec
404;30/01/2015;16;Mauricio;20%;Cliente Nuevo;La Estancia
405;25/10/2014;16;Mauricio;20%;Cliente Nuevo;La Paz
406;01/07/2014;9;Mariana;14%;Cliente Nuevo;Chapultepec
407;04/02/2014;2;Alejandro;9%;Cliente Repetido;La Paz
408;02/08/2014;3;Saul;14%;Cliente Nuevo;La Paz
409;27/10/2014;1;Alejandro;6%;Cliente Nuevo;La Paz
410;31/05/2014;13;Joel;13%;Cliente Nuevo;La Estancia
411;15/11/2014;17;Mauricio;20%;Cliente Nuevo;Chapultepec
412;09/02/2014;10;Ernesto;7%;Cliente Repetido;Chapultepec
413;30/10/2014;17;Joel;10%;Cliente Nuevo;Chapultepec
414;11/08/2014;17;Rodolfo;14%;Cliente Nuevo;Chapultepec
415;07/02/2014;5;Omar;17%;Cliente Nuevo;La Paz
416;26/01/2015;5;Saul;14%;Cliente Nuevo;La Paz
417;05/11/2014;6;Omar;16%;Cliente Nuevo;Chapultepec
418;06/06/2014;1;Mariana;15%;Cliente Repetido;La Estancia
419;25/08/2014;12;Rodolfo;7%;Cliente Repetido;La Estancia
420;07/10/2014;15;Valentina;14%;Cliente Nuevo;La Paz
421;07/07/2014;17;Saul;17%;Cliente Nuevo;La Paz
422;09/04/2014;12;Joel;13%;Cliente Nuevo;La Estancia
423;15/10/2014;8;Ernesto;5%;Cliente Nuevo;La Paz
424;14/08/2014;6;Alejandro;6%;Cliente Repetido;Chapultepec
425;04/11/2014;9;Saul;9%;Cliente Nuevo;La Estancia
426;08/01/2015;11;Omar;11%;Cliente Nuevo;La Paz
427;29/03/2014;6;Joel;10%;Cliente Repetido;La Paz
428;18/05/2014;2;Saul;16%;Cliente Nuevo;Chapultepec
429;14/08/2014;6;Joel;9%;Cliente Nuevo;La Estancia
430;13/02/2014;10;Rodolfo;5%;Cliente Nuevo;La Estancia
431;24/05/2014;12;Ernesto;10%;Cliente Nuevo;La Paz
432;13/05/2014;4;Rodolfo;10%;Cliente Nuevo;La Paz
433;08/07/2014;2;Joel;9%;Cliente Nuevo;La Paz
434;24/01/2015;13;Joel;6%;Cliente Nuevo;Chapultepec
435;08/09/2014;7;Alejandro;8%;Cliente Nuevo;La Estancia
436;27/11/2014;10;Valentina;12%;Cliente Repetido;La Estancia
437;24/04/2014;4;Joel;16%;Cliente Nuevo;La Paz
438;11/09/2014;12;Mariana;11%;Cliente Nuevo;La Estancia
439;22/03/2014;7;Valentina;13%;Cliente Nuevo;Chapultepec
440;15/08/2014;2;Ernesto;16%;Cliente Repetido;La Paz
441;20/02/2014;16;Saul;12%;Cliente Repetido;La Estancia
442;15/03/2014;16;Alejandro;15%;Cliente Nuevo;La Paz
443;20/11/2014;2;Joel;6%;Cliente Nuevo;Chapultepec
444;10/07/2014;4;Ernesto;13%;Cliente Repetido;La Estancia
445;01/09/2014;11;Valentina;15%;Cliente Repetido;La Estancia
446;06/09/2014;15;Mauricio;20%;Cliente Nuevo;Chapultepec
447;15/02/2014;13;Mariana;17%;Cliente Nuevo;La Paz
448;11/11/2014;17;Joel;9%;Cliente Nuevo;La Paz
449;15/11/2014;8;Mauricio;20%;Cliente Nuevo;La Paz
450;19/12/2014;8;Rodolfo;8%;Cliente Nuevo;La Estancia
451;21/12/2014;4;Saul;12%;Cliente Nuevo;La Paz
452;09/10/2014;9;Valentina;10%;Cliente Nuevo;La Paz
453;18/09/2014;9;Alejandro;13%;Cliente Repetido;Chapultepec
454;31/03/2014;2;Alejandro;16%;Cliente Nuevo;La Paz
455;22/07/2014;12;Mariana;5%;Cliente Nuevo;La Estancia
456;21/05/2014;7;Rodolfo;12%;Cliente Nuevo;La Estancia
457;21/07/2014;3;Omar;13%;Cliente Nuevo;La Paz
458;21/12/2014;15;Saul;10%;Cliente Nuevo;Chapultepec
459;14/05/2014;15;Ernesto;14%;Cliente Nuevo;Chapultepec
460;28/12/2014;14;Mariana;11%;Cliente Nuevo;La Paz
461;28/10/2014;17;Omar;11%;Cliente Repetido;Chapultepec
462;28/04/2014;4;Joel;15%;Cliente Nuevo;Chapultepec
463;19/08/2014;9;Saul;10%;Cliente Nuevo;Chapultepec
464;14/04/2014;13;Joel;9%;Cliente Nuevo;La Estancia
465;27/01/2015;11;Mariana;12%;Cliente Nuevo;La Estancia
466;01/12/2014;1;Valentina;13%;Cliente Nuevo;Chapultepec
467;14/09/2014;12;Saul;13%;Cliente Nuevo;Chapultepec
468;09/04/2014;5;Rodolfo;16%;Cliente Repetido;Chapultepec
469;08/05/2014;8;Ernesto;16%;Cliente Nuevo;Chapultepec
470;20/09/2014;12;Rodolfo;8%;Cliente Nuevo;Chapultepec
471;17/08/2014;5;Omar;14%;Cliente Repetido;La Paz
472;19/11/2014;2;Valentina;9%;Cliente Nuevo;Chapultepec
473;25/07/2014;12;Rodolfo;11%;Cliente Nuevo;La Estancia
474;13/03/2014;12;Omar;15%;Cliente Nuevo;Chapultepec
475;31/03/2014;3;Saul;16%;Cliente Nuevo;Chapultepec
476;18/03/2014;14;Alejandro;10%;Cliente Nuevo;La Paz
477;09/07/2014;2;Mariana;8%;Cliente Nuevo;Chapultepec
478;26/10/2014;9;Valentina;12%;Cliente Nuevo;Chapultepec
479;24/06/2014;10;Mariana;10%;Cliente Nuevo;La Estancia
480;20/05/2014;4;Omar;5%;Cliente Nuevo;La Estancia
481;31/10/2014;16;Mauricio;20%;Cliente Nuevo;La Paz
482;10/04/2014;12;Joel;13%;Cliente Nuevo;La Estancia
483;04/12/2014;17;Omar;16%;Cliente Repetido;La Estancia
484;01/03/2014;17;Saul;11%;Cliente Nuevo;La Paz
485;31/03/2014;9;Ernesto;7%;Cliente Repetido;La Estancia
486;03/05/2014;11;Mariana;8%;Cliente Nuevo;Chapultepec
487;11/04/2014;10;Joel;12%;Cliente Nuevo;La Paz
488;26/11/2014;14;Joel;6%;Cliente Nuevo;La Paz
489;29/10/2014;16;Ernesto;10%;Cliente Nuevo;Chapultepec
490;31/08/2014;3;Joel;5%;Cliente Nuevo;Chapultepec
491;28/06/2014;13;Saul;17%;Cliente Nuevo;La Paz
492;31/07/2014;13;Alejandro;14%;Cliente Repetido;Chapultepec
493;03/05/2014;8;Alejandro;8%;Cliente Nuevo;Chapultepec
494;27/04/2014;9;Alejandro;16%;Cliente Nuevo;La Estancia
495;14/09/2014;10;Saul;9%;Cliente Nuevo;La Paz
496;15/11/2014;17;Mauricio;20%;Cliente Nuevo;La Paz
497;08/07/2014;15;Joel;6%;Cliente Nuevo;La Paz
498;20/12/2014;7;Mauricio;20%;Cliente Nuevo;La Estancia
499;31/08/2014;2;Mariana;15%;Cliente Nuevo;La Estancia
500;21/02/2014;12;Rodolfo;8%;Cliente Nuevo;La Paz
501;23/04/2014;3;Saul;15%;Cliente Repetido;La Paz
502;17/02/2014;7;Valentina;11%;Cliente Repetido;La Paz
503;03/06/2014;14;Ernesto;17%;Cliente Repetido;La Paz
504;28/04/2014;12;Joel;8%;Cliente Repetido;La Estancia
505;21/05/2014;17;Ernesto;8%;Cliente Nuevo;Chapultepec
506;03/08/2014;1;Saul;5%;Cliente Nuevo;La Estancia
507;14/04/2014;8;Saul;7%;Cliente Nuevo;La Paz
508;15/02/2014;1;Saul;16%;Cliente Nuevo;La Estancia
509;01/02/2014;5;Valentina;17%;Cliente Nuevo;La Estancia
510;29/08/2014;15;Joel;10%;Cliente Nuevo;La Estancia
511;22/11/2014;16;Mauricio;20%;Cliente Nuevo;La Paz
512;10/11/2014;15;Saul;5%;Cliente Nuevo;La Estancia
513;25/11/2014;13;Omar;12%;Cliente Repetido;La Estancia
514;06/07/2014;9;Ernesto;6%;Cliente Nuevo;La Paz
515;21/11/2014;4;Mauricio;20%;Cliente Nuevo;Chapultepec
516;31/08/2014;10;Omar;14%;Cliente Repetido;Chapultepec
517;10/09/2014;17;Saul;16%;Cliente Nuevo;La Estancia
518;14/03/2014;4;Omar;14%;Cliente Nuevo;Chapultepec
519;06/01/2015;2;Mariana;13%;Cliente Nuevo;La Estancia
520;14/05/2014;8;Alejandro;5%;Cliente Nuevo;La Estancia
521;20/09/2014;4;Mauricio;20%;Cliente Nuevo;Chapultepec
522;28/10/2014;5;Joel;17%;Cliente Repetido;La Estancia
523;30/04/2014;11;Omar;11%;Cliente Repetido;La Paz
524;17/01/2015;2;Mauricio;20%;Cliente Nuevo;La Estancia
525;27/10/2014;1;Saul;9%;Cliente Nuevo;Chapultepec
526;01/01/2015;16;Joel;7%;Cliente Repetido;Chapultepec
527;08/05/2014;11;Alejandro;9%;Cliente Repetido;La Paz
528;25/11/2014;1;Valentina;5%;Cliente Nuevo;La Estancia
529;31/01/2015;6;Mauricio;20%;Cliente Nuevo;La Estancia
530;10/12/2014;7;Saul;5%;Cliente Repetido;La Estancia
531;22/02/2014;16;Rodolfo;17%;Cliente Repetido;Chapultepec
532;28/12/2014;7;Rodolfo;11%;Cliente Nuevo;La Estancia
533;16/04/2014;13;Alejandro;11%;Cliente Nuevo;Chapultepec
534;04/09/2014;10;Ernesto;15%;Cliente Nuevo;La Paz
535;13/06/2014;11;Alejandro;9%;Cliente Repetido;La Paz
536;18/10/2014;11;Mauricio;20%;Cliente Nuevo;Chapultepec
537;09/06/2014;12;Omar;16%;Cliente Repetido;La Estancia
538;14/12/2014;11;Omar;15%;Cliente Nuevo;Chapultepec
539;23/07/2014;14;Saul;10%;Cliente Nuevo;La Estancia
540;16/04/2014;15;Saul;6%;Cliente Nuevo;Chapultepec
541;18/08/2014;16;Joel;10%;Cliente Nuevo;Chapultepec
542;13/09/2014;5;Mauricio;20%;Cliente Nuevo;Chapultepec
543;18/07/2014;3;Valentina;8%;Cliente Nuevo;La Paz
544;20/02/2014;4;Omar;8%;Cliente Repetido;La Paz
545;15/02/2014;6;Mariana;15%;Cliente Nuevo;Chapultepec
546;19/03/2014;10;Joel;6%;Cliente Nuevo;La Estancia
547;07/08/2014;16;Mariana;14%;Cliente Nuevo;La Estancia
548;21/05/2014;10;Valentina;8%;Cliente Nuevo;La Paz
549;15/06/2014;5;Alejandro;8%;Cliente Nuevo;La Estancia
550;09/05/2014;14;Valentina;8%;Cliente Nuevo;La Paz
551;01/10/2014;1;Joel;12%;Cliente Nuevo;La Paz
552;08/08/2014;2;Omar;15%;Cliente Nuevo;Chapultepec
553;29/01/2015;14;Omar;10%;Cliente Repetido;Chapultepec
554;23/04/2014;10;Rodolfo;5%;Cliente Repetido;La Paz
555;18/05/2014;6;Valentina;9%;Cliente Repetido;Chapultepec
556;12/11/2014;14;Joel;7%;Cliente Repetido;Chapultepec
557;22/06/2014;8;Mariana;16%;Cliente Nuevo;La Estancia
558;07/05/2014;17;Rodolfo;5%;Cliente Nuevo;Chapultepec
559;09/04/2014;4;Omar;8%;Cliente Nuevo;La Estancia
560;24/09/2014;11;Omar;16%;Cliente Repetido;Chapultepec
561;17/08/2014;2;Omar;9%;Cliente Nuevo;La Paz
562;02/02/2014;4;Alejandro;13%;Cliente Nuevo;La Paz
563;25/02/2014;15;Rodolfo;14%;Cliente Nuevo;La Paz
564;14/07/2014;16;Alejandro;15%;Cliente Nuevo;Chapultepec
565;01/10/2014;3;Rodolfo;12%;Cliente Nuevo;Chapultepec
566;04/11/2014;3;Ernesto;14%;Cliente Repetido;La Paz
567;26/03/2014;14;Valentina;11%;Cliente Nuevo;La Estancia
568;03/12/2014;11;Rodolfo;15%;Cliente Repetido;La Estancia
569;20/10/2014;10;Ernesto;12%;Cliente Repetido;La Estancia
570;06/12/2014;17;Mauricio;20%;Cliente Nuevo;La Estancia
571;07/02/2014;7;Rodolfo;6%;Cliente Nuevo;Chapultepec
572;30/07/2014;17;Saul;11%;Cliente Nuevo;La Paz
573;17/09/2014;11;Omar;10%;Cliente Repetido;La Paz
574;10/03/2014;4;Mariana;14%;Cliente Repetido;La Paz
575;09/06/2014;17;Mariana;7%;Cliente Repetido;La Estancia
576;27/08/2014;10;Valentina;16%;Cliente Nuevo;Chapultepec
577;28/01/2015;13;Omar;17%;Cliente Repetido;Chapultepec
578;01/04/2014;5;Omar;9%;Cliente Repetido;La Estancia
579;24/02/2014;16;Rodolfo;9%;Cliente Nuevo;La Paz
580;31/08/2014;6;Alejandro;8%;Cliente Nuevo;La Estancia
581;29/04/2014;6;Omar;10%;Cliente Nuevo;La Estancia
582;27/06/2014;8;Omar;13%;Cliente Nuevo;La Paz
583;16/10/2014;8;Valentina;8%;Cliente Repetido;Chapultepec
584;08/01/2015;17;Mariana;7%;Cliente Repetido;Chapultepec
585;13/01/2015;1;Omar;16%;Cliente Repetido;La Estancia
586;20/04/2014;11;Valentina;6%;Cliente Nuevo;La Paz
587;26/02/2014;3;Ernesto;6%;Cliente Nuevo;La Paz
588;19/09/2014;3;Mauricio;20%;Cliente Nuevo;Chapultepec
589;07/07/2014;3;Saul;15%;Cliente Nuevo;La Estancia
590;28/12/2014;7;Valentina;17%;Cliente Nuevo;Chapultepec
591;19/12/2014;15;Mauricio;20%;Cliente Nuevo;Chapultepec
592;21/07/2014;10;Joel;15%;Cliente Nuevo;La Estancia
593;01/08/2014;7;Omar;8%;Cliente Nuevo;La Estancia
594;22/03/2014;8;Rodolfo;11%;Cliente Repetido;Chapultepec
595;02/06/2014;15;Omar;9%;Cliente Nuevo;La Estancia
596;02/10/2014;11;Alejandro;7%;Cliente Nuevo;Chapultepec
597;06/07/2014;7;Rodolfo;8%;Cliente Nuevo;La Paz
598;18/12/2014;16;Mariana;5%;Cliente Nuevo;La Estancia
599;14/02/2014;16;Joel;14%;Cliente Repetido;La Estancia
600;25/05/2014;8;Mariana;10%;Cliente Repetido;La Estancia
601;01/04/2014;4;Omar;16%;Cliente Repetido;La Paz
602;01/11/2014;3;Mauricio;20%;Cliente Nuevo;La Paz
603;14/10/2014;11;Joel;7%;Cliente Nuevo;Chapultepec
604;27/12/2014;13;Mauricio;20%;Cliente Nuevo;La Estancia
605;27/04/2014;15;Ernesto;5%;Cliente Repetido;La Estancia
606;12/04/2014;15;Valentina;15%;Cliente Nuevo;La Estancia
607;09/11/2014;13;Saul;15%;Cliente Nuevo;Chapultepec
608;12/04/2014;3;Mariana;16%;Cliente Nuevo;Chapultepec
609;18/04/2014;1;Alejandro;5%;Cliente Repetido;La Paz
610;09/04/2014;17;Rodolfo;7%;Cliente Repetido;La Paz
611;30/01/2015;8;Mauricio;20%;Cliente Nuevo;La Estancia
612;26/05/2014;14;Ernesto;14%;Cliente Nuevo;Chapultepec
613;14/12/2014;6;Omar;10%;Cliente Repetido;La Estancia
614;06/04/2014;17;Mariana;13%;Cliente Repetido;La Paz
615;24/03/2014;15;Omar;15%;Cliente Nuevo;Chapultepec
616;30/08/2014;9;Valentina;11%;Cliente Nuevo;Chapultepec
617;23/03/2014;7;Mariana;5%;Cliente Nuevo;Chapultepec
618;13/04/2014;14;Ernesto;5%;Cliente Nuevo;La Estancia
619;13/05/2014;12;Ernesto;11%;Cliente Nuevo;La Paz
620;23/01/2015;12;Mauricio;20%;Cliente Nuevo;La Paz
621;07/08/2014;9;Saul;11%;Cliente Nuevo;Chapultepec
622;15/06/2014;4;Ernesto;17%;Cliente Nuevo;La Estancia
623;07/06/2014;16;Valentina;9%;Cliente Nuevo;Chapultepec
624;10/01/2015;7;Mauricio;20%;Cliente Nuevo;Chapultepec
625;07/10/2014;6;Omar;11%;Cliente Repetido;La Estancia
626;09/08/2014;12;Rodolfo;6%;Cliente Repetido;La Paz
627;19/03/2014;14;Joel;8%;Cliente Repetido;La Estancia
628;30/01/2015;10;Mauricio;20%;Cliente Nuevo;La Paz
629;29/06/2014;8;Ernesto;13%;Cliente Nuevo;La Paz
630;04/03/2014;14;Valentina;8%;Cliente Nuevo;Chapultepec
631;22/06/2014;2;Mariana;8%;Cliente Repetido;Chapultepec
632;26/08/2014;17;Mariana;6%;Cliente Nuevo;Chapultepec
633;09/10/2014;7;Ernesto;7%;Cliente Nuevo;Chapultepec
634;20/02/2014;6;Mariana;8%;Cliente Nuevo;Chapultepec
635;16/10/2014;7;Rodolfo;17%;Cliente Repetido;La Paz
636;25/09/2014;6;Joel;9%;Cliente Nuevo;La Estancia
637;08/08/2014;2;Rodolfo;12%;Cliente Nuevo;La Estancia
638;18/06/2014;9;Saul;7%;Cliente Repetido;Chapultepec
639;20/05/2014;9;Joel;9%;Cliente Nuevo;La Estancia
640;30/08/2014;11;Omar;6%;Cliente Nuevo;Chapultepec
641;11/03/2014;10;Saul;8%;Cliente Nuevo;La Estancia
642;26/10/2014;1;Alejandro;14%;Cliente Nuevo;La Paz
643;25/04/2014;3;Rodolfo;8%;Cliente Nuevo;Chapultepec
644;18/02/2014;2;Omar;9%;Cliente Nuevo;La Estancia
645;31/07/2014;15;Alejandro;13%;Cliente Nuevo;La Paz
646;03/11/2014;2;Saul;5%;Cliente Repetido;Chapultepec
647;17/12/2014;4;Valentina;7%;Cliente Repetido;La Estancia
648;15/08/2014;15;Omar;15%;Cliente Nuevo;La Estancia
649;20/08/2014;4;Joel;8%;Cliente Nuevo;La Estancia
650;05/03/2014;5;Omar;11%;Cliente Nuevo;La Estancia
651;30/01/2015;8;Mauricio;20%;Cliente Nuevo;La Estancia
652;05/10/2014;5;Saul;6%;Cliente Nuevo;La Estancia
653;30/10/2014;10;Alejandro;8%;Cliente Nuevo;Chapultepec
654;09/08/2014;12;Ernesto;13%;Cliente Nuevo;Chapultepec
655;09/07/2014;9;Omar;13%;Cliente Nuevo;La Paz
656;25/07/2014;14;Valentina;9%;Cliente Repetido;Chapultepec
657;18/07/2014;15;Ernesto;5%;Cliente Repetido;Chapultepec
658;10/07/2014;1;Ernesto;15%;Cliente Nuevo;La Estancia
659;28/01/2015;3;Valentina;15%;Cliente Nuevo;La Estancia
660;22/01/2015;14;Alejandro;14%;Cliente Repetido;La Paz
661;24/03/2014;4;Omar;6%;Cliente Nuevo;La Paz
662;31/12/2014;2;Ernesto;7%;Cliente Repetido;La Paz
663;14/07/2014;2;Valentina;5%;Cliente Repetido;La Paz
664;20/12/2014;12;Mauricio;20%;Cliente Nuevo;Chapultepec
665;24/03/2014;17;Ernesto;9%;Cliente Repetido;La Estancia
666;19/07/2014;3;Alejandro;12%;Cliente Nuevo;Chapultepec
667;05/02/2014;14;Valentina;6%;Cliente Nuevo;La Estancia
668;10/04/2014;12;Joel;10%;Cliente Repetido;Chapultepec
669;05/08/2014;6;Saul;16%;Cliente Repetido;Chapultepec
670;02/12/2014;5;Rodolfo;10%;Cliente Nuevo;Chapultepec
671;17/10/2014;2;Mauricio;20%;Cliente Nuevo;La Paz
672;15/07/2014;11;Alejandro;15%;Cliente Repetido;La Estancia
673;12/05/2014;6;Mariana;5%;Cliente Repetido;Chapultepec
674;22/10/2014;3;Valentina;11%;Cliente Nuevo;Chapultepec
675;27/08/2014;17;Joel;7%;Cliente Nuevo;La Paz
676;01/01/2015;7;Valentina;16%;Cliente Nuevo;La Paz
677;01/03/2014;8;Ernesto;9%;Cliente Repetido;La Estancia
678;23/10/2014;2;Valentina;13%;Cliente Nuevo;Chapultepec
679;30/09/2014;6;Valentina;10%;Cliente Nuevo;La Paz
680;01/10/2014;12;Rodolfo;9%;Cliente Nuevo;La Estancia
681;14/04/2014;3;Joel;6%;Cliente Nuevo;La Estancia
682;04/05/2014;3;Omar;17%;Cliente Repetido;La Estancia
683;03/10/2014;5;Mauricio;20%;Cliente Nuevo;Chapultepec
684;20/07/2014;14;Saul;15%;Cliente Repetido;La Paz
685;31/01/2015;8;Mauricio;20%;Cliente Nuevo;Chapultepec
686;29/05/2014;4;Alejandro;8%;Cliente Repetido;La Paz
687;04/03/2014;7;Rodolfo;16%;Cliente Nuevo;La Estancia
688;12/08/2014;10;Saul;15%;Cliente Nuevo;La Paz
689;10/02/2014;17;Joel;17%;Cliente Nuevo;La Estancia
690;02/08/2014;6;Saul;15%;Cliente Repetido;La Estancia
691;26/12/2014;15;Mauricio;20%;Cliente Nuevo;La Paz
692;23/12/2014;4;Ernesto;16%;Cliente Nuevo;La Estancia
693;16/12/2014;10;Omar;11%;Cliente Nuevo;Chapultepec
694;30/08/2014;9;Ernesto;8%;Cliente Nuevo;La Paz
695;25/02/2014;16;Valentina;8%;Cliente Nuevo;La Paz
696;14/04/2014;5;Valentina;6%;Cliente Nuevo;La Estancia
697;12/12/2014;16;Mauricio;20%;Cliente Nuevo;Chapultepec
698;08/04/2014;3;Omar;8%;Cliente Nuevo;La Paz
699;20/05/2014;6;Ernesto;12%;Cliente Nuevo;La Estancia
700;03/09/2014;8;Valentina;8%;Cliente Repetido;La Paz
701;31/03/2014;15;Rodolfo;5%;Cliente Repetido;Chapultepec
702;03/01/2015;17;Mauricio;20%;Cliente Nuevo;La Paz
703;04/03/2014;11;Valentina;13%;Cliente Nuevo;Chapultepec
704;28/11/2014;10;Mauricio;20%;Cliente Nuevo;La Estancia
705;11/10/2014;10;Mauricio;20%;Cliente Nuevo;La Estancia
706;23/06/2014;14;Ernesto;7%;Cliente Nuevo;La Paz
707;22/05/2014;3;Ernesto;16%;Cliente Nuevo;La Paz
708;10/09/2014;5;Rodolfo;17%;Cliente Nuevo;Chapultepec
709;21/07/2014;17;Rodolfo;14%;Cliente Repetido;Chapultepec
710;06/02/2014;17;Valentina;13%;Cliente Nuevo;Chapultepec
711;28/12/2014;17;Joel;6%;Cliente Repetido;La Paz
712;03/01/2015;14;Mauricio;20%;Cliente Nuevo;Chapultepec
713;21/09/2014;13;Alejandro;12%;Cliente Nuevo;La Paz
714;15/12/2014;8;Joel;13%;Cliente Nuevo;Chapultepec
715;19/11/2014;16;Saul;15%;Cliente Nuevo;La Estancia
716;05/04/2014;15;Omar;5%;Cliente Repetido;La Estancia
717;23/01/2015;9;Mauricio;20%;Cliente Nuevo;La Estancia
718;10/11/2014;4;Joel;15%;Cliente Nuevo;Chapultepec
719;23/05/2014;9;Saul;14%;Cliente Nuevo;Chapultepec
720;31/12/2014;11;Saul;6%;Cliente Nuevo;Chapultepec
721;03/10/2014;14;Mauricio;20%;Cliente Nuevo;La Paz
722;10/07/2014;16;Alejandro;11%;Cliente Nuevo;La Estancia
723;30/04/2014;2;Valentina;9%;Cliente Repetido;La Estancia
724;26/01/2015;14;Ernesto;5%;Cliente Nuevo;La Paz
725;25/01/2015;8;Mariana;17%;Cliente Nuevo;Chapultepec
726;20/06/2014;8;Alejandro;15%;Cliente Nuevo;La Estancia
727;07/06/2014;4;Alejandro;12%;Cliente Nuevo;La Paz
728;02/04/2014;4;Joel;15%;Cliente Nuevo;Chapultepec
729;12/09/2014;13;Mauricio;20%;Cliente Nuevo;Chapultepec
730;17/11/2014;11;Ernesto;12%;Cliente Repetido;La Estancia
731;16/05/2014;1;Ernesto;14%;Cliente Repetido;La Paz
732;15/05/2014;5;Saul;9%;Cliente Nuevo;La Estancia
733;19/09/2014;8;Mauricio;20%;Cliente Nuevo;La Paz
734;27/02/2014;10;Joel;9%;Cliente Repetido;Chapultepec
735;13/08/2014;9;Ernesto;16%;Cliente Nuevo;Chapultepec
736;03/09/2014;5;Omar;5%;Cliente Repetido;Chapultepec
737;22/03/2014;4;Valentina;17%;Cliente Nuevo;Chapultepec
738;12/01/2015;12;Ernesto;16%;Cliente Repetido;La Paz
739;13/06/2014;7;Joel;12%;Cliente Nuevo;Chapultepec
740;15/09/2014;2;Joel;11%;Cliente Repetido;Chapultepec
741;23/10/2014;17;Mariana;13%;Cliente Nuevo;Chapultepec
742;04/08/2014;3;Alejandro;9%;Cliente Repetido;Chapultepec
743;02/05/2014;8;Alejandro;10%;Cliente Nuevo;La Estancia
744;25/08/2014;16;Mariana;12%;Cliente Nuevo;La Paz
745;25/01/2015;3;Mariana;13%;Cliente Repetido;La Estancia
746;01/11/2014;3;Mauricio;20%;Cliente Nuevo;Chapultepec
747;22/05/2014;13;Alejandro;15%;Cliente Nuevo;Chapultepec
748;05/06/2014;14;Alejandro;6%;Cliente Nuevo;Chapultepec
749;19/03/2014;14;Ernesto;16%;Cliente Nuevo;La Paz
750;18/05/2014;3;Omar;5%;Cliente Nuevo;Chapultepec
751;07/10/2014;14;Alejandro;11%;Cliente Repetido;La Paz
752;13/06/2014;5;Mariana;9%;Cliente Nuevo;Chapultepec
753;07/01/2015;5;Omar;16%;Cliente Repetido;La Estancia
754;22/06/2014;3;Ernesto;15%;Cliente Repetido;Chapultepec
755;06/08/2014;5;Joel;14%;Cliente Nuevo;Chapultepec
756;23/03/2014;12;Omar;16%;Cliente Nuevo;La Estancia
757;21/02/2014;9;Omar;6%;Cliente Repetido;La Paz
758;06/01/2015;1;Omar;8%;Cliente Nuevo;La Paz
759;05/01/2015;6;Alejandro;7%;Cliente Nuevo;La Estancia
760;18/10/2014;3;Mauricio;20%;Cliente Nuevo;Chapultepec
761;14/06/2014;13;Ernesto;9%;Cliente Repetido;Chapultepec
762;06/10/2014;9;Ernesto;13%;Cliente Nuevo;Chapultepec
763;12/09/2014;15;Mauricio;20%;Cliente Nuevo;La Paz
764;04/11/2014;5;Alejandro;16%;Cliente Nuevo;La Estancia
765;24/02/2014;10;Valentina;10%;Cliente Nuevo;Chapultepec
766;31/12/2014;10;Valentina;6%;Cliente Nuevo;Chapultepec
767;09/11/2014;16;Omar;13%;Cliente Nuevo;Chapultepec
768;31/03/2014;12;Joel;12%;Cliente Nuevo;Chapultepec
769;28/07/2014;16;Omar;8%;Cliente Nuevo;Chapultepec
770;03/10/2014;6;Mauricio;20%;Cliente Nuevo;La Paz
771;16/08/2014;11;Alejandro;16%;Cliente Nuevo;Chapultepec
772;26/07/2014;6;Mariana;12%;Cliente Nuevo;La Estancia
773;06/01/2015;1;Omar;11%;Cliente Nuevo;La Estancia
774;23/08/2014;14;Omar;9%;Cliente Nuevo;La Estancia
775;18/10/2014;13;Mauricio;20%;Cliente Nuevo;Chapultepec
776;14/06/2014;2;Mariana;12%;Cliente Nuevo;La Estancia
777;16/10/2014;17;Ernesto;9%;Cliente Nuevo;La Paz
778;05/01/2015;17;Ernesto;12%;Cliente Repetido;La Paz
779;16/10/2014;2;Joel;9%;Cliente Nuevo;La Estancia
780;03/03/2014;11;Rodolfo;13%;Cliente Nuevo;La Estancia
781;08/07/2014;13;Saul;8%;Cliente Nuevo;Chapultepec
782;04/11/2014;3;Saul;14%;Cliente Nuevo;La Estancia
783;03/04/2014;2;Valentina;17%;Cliente Nuevo;Chapultepec
784;05/05/2014;2;Ernesto;7%;Cliente Nuevo;Chapultepec
785;21/02/2014;13;Joel;13%;Cliente Repetido;La Estancia
786;06/04/2014;16;Saul;17%;Cliente Nuevo;Chapultepec
787;22/04/2014;15;Joel;6%;Cliente Repetido;La Paz
788;18/02/2014;13;Valentina;5%;Cliente Repetido;La Paz
789;08/05/2014;5;Alejandro;15%;Cliente Nuevo;Chapultepec
790;27/11/2014;14;Mariana;6%;Cliente Nuevo;Chapultepec
791;30/01/2015;13;Mauricio;20%;Cliente Nuevo;La Estancia
792;13/12/2014;9;Mauricio;20%;Cliente Nuevo;Chapultepec
793;26/03/2014;11;Saul;8%;Cliente Nuevo;La Estancia
794;12/03/2014;8;Mariana;10%;Cliente Repetido;Chapultepec
795;03/11/2014;4;Omar;5%;Cliente Nuevo;La Paz
796;08/07/2014;11;Alejandro;10%;Cliente Nuevo;La Estancia
